   6.3914254e-02   3.7504490e-01   6.3914254e-02   3.7504490e-01
   6.2444545e-02   3.7276174e-01   6.3637898e-02   3.5178275e-01
   5.9355408e-02   3.6592191e-01   6.1517755e-02   3.0591453e-01
   5.6563298e-02   3.5525572e-01   5.7728303e-02   2.6220711e-01
   5.4819215e-02   3.4219491e-01   5.3556476e-02   2.2693185e-01
   5.4065143e-02   3.2807814e-01   4.9736403e-02   1.9942540e-01
   5.4017234e-02   3.1381305e-01   4.6478977e-02   1.7786753e-01
   5.4409909e-02   2.9992319e-01   4.3767617e-02   1.6069445e-01
   5.5049067e-02   2.8667925e-01   4.1518661e-02   1.4676171e-01
   5.5805362e-02   2.7420236e-01   3.9642496e-02   1.3525961e-01
   5.6596618e-02   2.6252925e-01   3.8061918e-02   1.2561412e-01
   5.7372504e-02   2.5165057e-01   3.6715113e-02   1.1741261e-01
   5.8103562e-02   2.4153259e-01   3.5553931e-02   1.1035325e-01
   5.8773783e-02   2.3212984e-01   3.4541181e-02   1.0421127e-01
   5.9375740e-02   2.2339211e-01   3.3648134e-02   9.8816435e-02
   5.9907355e-02   2.1526857e-01   3.2852471e-02   9.4037699e-02
   6.0369892e-02   2.0770983e-01   3.2136773e-02   8.9772735e-02
   6.0766550e-02   2.0066920e-01   3.1487318e-02   8.5940551e-02
   6.1101601e-02   1.9410329e-01   3.0893222e-02   8.2476278e-02
   6.1379844e-02   1.8797209e-01   3.0345783e-02   7.9327365e-02
   6.1606208e-02   1.8223905e-01   2.9837986e-02   7.6450824e-02
   6.1785559e-02   1.7687078e-01   2.9364144e-02   7.3811152e-02
   6.1922575e-02   1.7183701e-01   2.8919609e-02   7.1378773e-02
   6.2021618e-02   1.6711032e-01   2.8500548e-02   6.9128880e-02
   6.2086754e-02   1.6266569e-01   2.8103800e-02   6.7040482e-02
   6.2121707e-02   1.5848056e-01   2.7726725e-02   6.5095722e-02
   6.2129869e-02   1.5453449e-01   2.7367107e-02   6.3279316e-02
   6.2114331e-02   1.5080902e-01   2.7023073e-02   6.1578094e-02
   6.2077861e-02   1.4728716e-01   2.6693049e-02   5.9980649e-02
   6.2022966e-02   1.4395365e-01   2.6375684e-02   5.8477060e-02
   6.1951904e-02   1.4079464e-01   2.6069815e-02   5.7058648e-02
   6.1866682e-02   1.3779743e-01   2.5774449e-02   5.5717800e-02
   6.1769104e-02   1.3495047e-01   2.5488721e-02   5.4447796e-02
   6.1660788e-02   1.3224323e-01   2.5211881e-02   5.3242688e-02
   6.1543178e-02   1.2966609e-01   2.4943271e-02   5.2097195e-02
   6.1417556e-02   1.2721026e-01   2.4682312e-02   5.1006610e-02
   6.1285073e-02   1.2486766e-01   2.4428495e-02   4.9966715e-02
   6.1146747e-02   1.2263089e-01   2.4181369e-02   4.8973734e-02
   6.1003497e-02   1.2049318e-01   2.3940527e-02   4.8024264e-02
   6.0856134e-02   1.1844825e-01   2.3705613e-02   4.7115236e-02
   6.0705373e-02   1.1649035e-01   2.3476300e-02   4.6243873e-02
   6.0551866e-02   1.1461420e-01   2.3252297e-02   4.5407655e-02
   6.0396180e-02   1.1281487e-01   2.3033341e-02   4.4604290e-02
   6.0238826e-02   1.1108786e-01   2.2819189e-02   4.3831691e-02
   6.0080251e-02   1.0942896e-01   2.2609624e-02   4.3087950e-02
   5.9920857e-02   1.0783429e-01   2.2404443e-02   4.2371319e-02
   5.9761000e-02   1.0630026e-01   2.2203464e-02   4.1680199e-02
   5.9600991e-02   1.0482354e-01   2.2006513e-02   4.1013115e-02
   5.9441106e-02   1.0340099e-01   2.1813434e-02   4.0368711e-02
   5.9281592e-02   1.0202973e-01   2.1624083e-02   3.9745738e-02
